id,nom,chemin,type,niveau,theme,notion,sequence_possible,statut,qualite,reutilisable,a_refondre,commentaire,source,audience,publishable,copie_dans_banques,evidence_category,hash,symlink
I01-final-recipe-review-nsi,final_recipe_review_nsi.md,reports/final_recipe_review_nsi.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,708330e6cd7a5e206bc8fd35f68fa604be8bade620f6212ca7020ca721248a48,non
I01-human-review-checklist-accessibility,human_review_checklist_accessibility.md,reports/human_review_checklist_accessibility.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,df1f9cb8d9b252c217808a6a0702a79a4ea3c8d0fd8cfc25c2a93e23239dc268,non
I01-human-review-checklist-pedagogy,human_review_checklist_pedagogy.md,reports/human_review_checklist_pedagogy.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,0e89596ee4d4c93eb7799198153c7b62abe243e0557eab7475795381b2ce1118,non
I01-human-review-checklist-science,human_review_checklist_science.md,reports/human_review_checklist_science.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,e91e49dd901e5ffea860d43d44ae7d78b1244e6be23bb5cb9e337f42c2911207,non
I01-human-review-protocol,human_review_protocol.md,reports/human_review_protocol.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,3f5c1e2bc0c7c4ec751ad75df1f12de917200c94ff406b2ac4e16aa9378e87de,non
I01-lot0-ruff-autofix-review,lot0_ruff_autofix_review.md,reports/lot0_ruff_autofix_review.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,b9191ca23d9463e746d818f4f4dcad8b24dfb2eb2c0b6c72b809a435f2c37d19,non
I01-drive-forensic,drive_forensic.md,reports/lot1/drive_forensic.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,35455c77a0f9a0262b7db460eb6879b247f7950997b31ecf701e7d6dd9b4445f,non
I01-lot1-validation-log,lot1_validation_log.md,reports/lot1/lot1_validation_log.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,0af421fc2d634b2732db889eba51f5cd032c75c15204051acdbdb1bb913b9b86,non
I01-repo-map,repo_map.md,reports/lot1/repo_map.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,be310569daaa97cfcf651f5438c00b383bb51ee26a8d7fec58a55697c611b591,non
I01-lot2-validation-log,lot2_validation_log.md,reports/lot2/lot2_validation_log.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,684da1d51bd17c1c68b4ec6db464b96dfbbe9c01a89d6821f33f8f440f67142f,non
I01-archive-extraction-inventory,archive_extraction_inventory.md,reports/lot3/archive_extraction_inventory.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,aa371954cc30a0e6129347265f32fa77d1e056f43891a3097494a852da49fa5c,non
I01-archive-security-inventory,archive_security_inventory.md,reports/lot3/archive_security_inventory.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,0bd722a62026a42eca2930cb90dd79bdf63b71e3e27fd90ba9df2cb8d81e1f81,non
